imdb_id,series_name,my_rating,tvdb_id
tt0098936,Twin Peaks,7.0,70533
tt0348914,Deadwood,8.0,72023
tt0367279,Arrested Development,7.0,72173
tt0397306,American Dad!,7.0,73141
tt0386676,The Office (US),9.0,73244
tt0384766,Rome,6.0,73508
tt0411008,Lost,7.0,73739
tt0212671,Malcolm in the Middle,8.0,73838
tt0149460,Futurama,8.0,73871
tt0185906,Band of Brothers,8.0,74205
tt0278238,Samurai Jack,6.0,75164
tt0141842,The Sopranos,9.0,75299
tt0455275,Prison Break,4.0,360115
tt0248654,Six Feet Under,8.0,75450
tt0460649,How I Met Your Mother,7.0,75760
tt0472954,It's Always Sunny in Philadelphia,8.0,75805
tt0182576,Family Guy,6.0,75978
tt0285403,Scrubs,9.0,76156
tt0264235,Curb Your Enthusiasm,9.0,76203
tt0193676,Freaks and Geeks,8.0,76321
tt0213338,Cowboy Bebop,5.0,76885
tt0290978,The Office,7.0,78107
tt0286486,The Shield,7.0,78261
tt0303461,Firefly,7.0,78874
tt0306414,The Wire,9.0,79126
tt0108778,Friends,8.0,79168
tt0098904,Seinfeld,9.0,79169
tt0487831,The IT Crowd,8.0,79216
tt0795176,Planet Earth,,79257
tt0773262,Dexter,8.0,79349
tt0877057,Death Note,9.0,79481
tt0804503,Mad Men,8.0,80337
tt0934814,Chuck,5.0,80348
tt0898266,The Big Bang Theory,2.0,80379
tt0903747,Breaking Bad,10.0,81189
tt1119644,Fringe,6.0,82066
tt1020116,Boris,6.0,367030
tt1124373,Sons of Anarchy,7.0,82696
tt1266020,Parks and Recreation,9.0,84912
tt1439629,Community,6.0,94571
tt1442449,Spartacus,,129261
tt1520211,The Walking Dead,5.0,153021
tt1492966,Louie (2010),7.0,155201
tt1474684,Luther,7.0,159591
tt1586680,Shameless (US),7.0,161511
tt1475582,Sherlock,8.0,176941
tt1606375,Downton Abbey,8.0,193131
tt1759761,Veep,8.0,237831
tt1632701,Suits,4.0,247808
tt1909447,Deadman Wonderland,3.0,247997
tt1844624,American Horror Story,3.0,250487
tt2098220,Hunter x Hunter (2011),9.0,252322
tt2085059,Black Mirror,8.0,253463
tt1898069,American Gods,8.0,253573
tt2243973,Hannibal,7.0,259063
tt2022713,Brickleberry,6.0,259569
tt2094262,Da Vinci's Demons,6.0,259669
tt1865718,Gravity Falls,8.0,259972
tt2234222,Orphan Black,5.0,260315
tt2306299,Vikings,7.0,260449
tt1856010,House of Cards (US),7.0,262980
tt2372162,Orange Is the New Black,8.0,264586
tt2628232,Penny Dreadful,7.0,265766
tt2189461,Marco Polo (2014),6.0,266091
tt2548418,Jonathan Strange & Mr Norrell,3.0,268581
tt2467372,Brooklyn Nine-Nine,8.0,269586
tt2802850,Fargo,9.0,269613
tt2699128,The Leftovers,8.0,269689
tt2618986,Wayward Pines,2.0,269750
tt2356777,True Detective,9.0,270633
tt2442560,Peaky Blinders,7.0,270915
tt2543312,Halt and Catch Fire,9.0,271910
tt3148266,12 Monkeys,4.0,272644
tt3032476,Better Call Saul,9.0,273181
tt2861424,Rick and Morty,9.0,275274
tt2575988,Silicon Valley,7.0,277165
tt4270492,Billions,6.0,279536
tt3205802,How to Get Away with Murder,5.0,281620
tt3230454,The Last Man on Earth,2.0,281622
tt3398228,BoJack Horseman,8.0,282254
tt2707408,Narcos,7.0,282670
tt2788432,American Crime Story,7.0,289108
tt4158110,Mr. Robot,9.0,289590
tt1399664,The Night Manager,6.0,290508
tt3647998,Taboo (2017),7.0,292157
tt4508902,One-Punch Man,8.0,293088
tt4052886,Lucifer,4.0,295685
tt1740299,The Man in the High Castle,6.0,295829
tt4189022,Ash vs Evil Dead,6.0,296295
tt0475784,Westworld,8.0,296762
tt4635276,Master of None,6.0,298901
tt5011816,Sneaky Pete,7.0,300166
tt5016504,Preacher,7.0,300472
tt2879552,11.22.63,7.0,301824
tt4574334,Stranger Things,7.0,305288
tt4786824,The Crown,8.0,305574
tt3920596,Big Little Lies,8.0,305719
tt5425186,Horace and Pete,6.0,309765
tt2401256,The Night Of,9.0,310516
tt4955642,The Good Place,6.0,311711
tt4047038,Dirk Gently's Holistic Detective Agency,7.0,312505
tt3655448,The Young Pope,7.0,313969
tt4288182,Atlanta,7.0,313999
tt5687612,Fleabag,8.0,314614
tt4687880,Goliath,7.0,315321
tt4998350,The Deuce,5.0,317728
tt5114356,Legion,4.0,320724
tt4635282,The OA,6.0,321060
tt5834204,The Handmaid's Tale,8.0,321239
tt2708480,The Terror,7.0,322191
tt5770786,GLOW,5.0,324835
tt5788792,The Marvelous Mrs. Maisel,8.0,326791
tt5290382,MINDHUNTER,9.0,328708
tt6958022,The Defiant Ones,,329079
tt5711280,Philip K. Dick's Electric Dreams,6.0,329083
tt5071412,Ozark,8.0,329089
tt6548228,Castle Rock,8.0,331600
tt2261227,Altered Carbon,4.0,332331
tt6317068,Final Space,6.0,332353
tt7221388,Cobra Kai,7.0,332858
tt5348176,Barry,8.0,333072
tt5516154,Godless,8.0,333801
tt5057054,Tom Clancy's Jack Ryan,2.0,336261
tt6257970,The End of the F***ing World,5.0,336522
tt4643084,Counterpart,5.0,337302
tt6586318,Patrick Melrose,4.0,338946
tt7016936,Killing Eve,7.0,340959
tt6763664,The Haunting of Hill House,,345246
tt8398600,After Life,7.0,347507
tt8714904,Narcos: Mexico,5.0,353232
tt1190634,The Boys,9.0,355567
tt9425132,Conversations with a Killer: The Ted Bundy Tapes,,356609
tt9561862,"Love, Death & Robots",7.0,357888
tt1869454,Good Omens,6.0,359569
tt7137906,When They See Us,7.0,360388
tt7366338,Chernobyl,10.0,360893
tt8111088,The Mandalorian,6.0,361753
tt5180504,The Witcher,6.0,362696
tt8550800,The Outsider (2020),7.0,365480
tt7909970,Unbelievable,5.0,367030
