user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
4524940,70533,1,0,48
4524940,71663,0,0,35
4524940,72023,1,0,36
4524940,72173,1,0,83
4524940,72521,1,0,0
4524940,73141,1,0,318
4524940,73244,1,0,195
4524940,73255,0,0,7
4524940,73508,1,0,22
4524940,73545,0,0,0
4524940,73739,1,0,120
4524940,73838,1,0,151
4524940,73871,1,0,124
4524940,74205,1,0,10
4524940,74852,0,0,0
4524940,75164,1,0,62
4524940,75299,1,1,85
4524940,75340,1,0,90
4524940,75450,1,0,63
4524940,75760,1,0,208
4524940,75805,1,0,152
4524940,75897,1,0,43
4524940,75978,1,0,331
4524940,76156,1,1,181
4524940,76203,1,0,100
4524940,76321,1,0,17
4524940,76736,0,0,0
4524940,76885,1,0,26
4524940,78107,1,0,14
4524940,78261,1,0,88
4524940,78874,1,0,14
4524940,79126,1,0,59
4524940,79168,1,0,236
4524940,79169,1,0,180
4524940,79216,1,0,25
4524940,79257,1,0,11
4524940,79349,1,0,96
4524940,79481,1,0,37
4524940,80337,1,0,92
4524940,80348,1,0,91
4524940,80379,1,0,281
4524940,81189,1,1,62
4524940,82066,1,0,100
4524940,82276,1,0,42
4524940,82696,1,0,53
4524940,84912,1,1,126
4524940,94571,1,0,110
4524940,95011,0,0,24
4524940,110381,0,0,0
4524940,111621,0,0,14
4524940,114801,0,0,150
4524940,121361,0,0,40
4524940,129261,1,0,0
4524940,153021,1,0,115
4524940,155201,1,0,61
4524940,159591,1,0,20
4524940,161511,1,0,121
4524940,165851,0,0,0
4524940,176941,1,0,13
4524940,193131,1,0,43
4524940,194031,0,0,129
4524940,237831,1,0,65
4524940,247808,1,0,108
4524940,247958,0,0,0
4524940,247997,1,0,12
4524940,250487,1,0,12
4524940,250749,0,0,0
4524940,252019,0,0,0
4524940,252322,1,1,148
4524940,253463,1,0,23
4524940,253573,1,0,16
4524940,259063,1,0,39
4524940,259569,1,0,36
4524940,259669,1,0,28
4524940,259972,1,0,41
4524940,260315,1,0,50
4524940,260449,1,0,73
4524940,262407,0,0,0
4524940,262414,0,0,0
4524940,262980,1,0,73
4524940,264586,1,0,91
4524940,265766,1,0,27
4524940,266091,1,0,20
4524940,267440,0,0,0
4524940,268156,0,0,13
4524940,268581,1,0,7
4524940,268592,0,0,0
4524940,269586,1,0,142
4524940,269613,1,1,30
4524940,269689,1,0,28
4524940,269750,1,0,20
4524940,270408,0,0,0
4524940,270633,1,1,24
4524940,270915,1,0,30
4524940,271910,1,1,40
4524940,272644,1,0,38
4524940,273181,1,1,50
4524940,275274,1,1,41
4524940,277165,1,0,53
4524940,277953,0,0,5
4524940,279536,1,0,47
4524940,280619,0,0,0
4524940,281620,1,0,45
4524940,281622,1,0,40
4524940,282254,1,0,79
4524940,282670,1,0,30
4524940,287314,0,0,0
4524940,289096,0,0,0
4524940,289108,1,0,19
4524940,289590,1,0,45
4524940,290508,1,0,6
4524940,290853,0,0,6
4524940,292157,1,0,8
4524940,293088,1,0,30
4524940,295685,1,0,67
4524940,295829,1,0,47
4524940,295837,0,0,0
4524940,296295,1,0,30
4524940,296762,1,0,28
4524940,298901,1,0,20
4524940,300166,1,0,28
4524940,300472,1,0,43
4524940,301824,1,0,8
4524940,303210,0,0,10
4524940,305288,1,0,25
4524940,305574,1,0,30
4524940,305719,1,0,14
4524940,306304,1,0,8
4524940,309765,1,0,10
4524940,310516,1,0,8
4524940,310614,0,0,0
4524940,310832,0,0,0
4524940,311711,1,0,51
4524940,311714,0,0,0
4524940,312505,1,0,18
4524940,313969,1,0,19
4524940,313999,1,0,21
4524940,314544,0,0,0
4524940,314614,1,0,12
4524940,315321,1,0,24
4524940,317728,1,0,8
4524940,320450,0,0,0
4524940,320724,1,0,8
4524940,321060,1,0,16
4524940,321239,1,0,37
4524940,322191,1,0,19
4524940,323168,0,0,13
4524940,324835,1,0,10
4524940,326791,1,0,26
4524940,326887,0,0,0
4524940,327417,0,0,0
4524940,328361,0,0,0
4524940,328635,0,0,0
4524940,328708,1,0,19
4524940,329079,1,0,6
4524940,329083,1,0,10
4524940,329089,1,0,30
4524940,329358,1,0,525
4524940,330374,0,0,8
4524940,331431,0,0,10
4524940,331600,1,0,20
4524940,332331,1,0,11
4524940,332353,1,0,23
4524940,332828,0,0,0
4524940,332858,1,0,20
4524940,333072,1,0,16
4524940,333801,1,0,7
4524940,334824,0,0,10
4524940,336261,1,0,8
4524940,336522,1,0,8
4524940,337302,1,0,5
4524940,338946,1,0,0
4524940,340234,1,0,1
4524940,340959,1,0,21
4524940,345246,1,0,0
4524940,346602,0,0,0
4524940,347507,1,0,12
4524940,347721,1,0,10
4524940,353232,1,0,10
4524940,355567,1,0,8
4524940,356609,1,0,0
4524940,357888,1,0,18
4524940,358211,1,0,20
4524940,359569,1,0,6
4524940,360295,0,0,0
4524940,360388,1,0,4
4524940,360892,0,0,0
4524940,360893,1,1,6
4524940,361549,0,0,0
4524940,361735,0,0,0
4524940,361753,1,0,8
4524940,362696,1,0,8
4524940,365480,1,0,10
4524940,367030,1,0,8
